family,size,seed,label,status,N,E,mean_degree,s,t,terminal_fallback,L,k,wsum,B,Etilde,margin_c1,alphabar,min_edge_weight,max_edge_weight,path_status,scatter_status,n_path_edge,n_path_micro,path_min_weight,scatter_N0,scatter_N1,scatter_N2,scatter_edge_noaux,scatter_edge_aux,scatter_micro_noaux,scatter_micro_aux,ln_ratio_edge,ln_ratio_micro,c_req_edge,c_req_micro,ln_ratio_edge_noaux,ln_ratio_micro_noaux,c_req_edge_noaux,c_req_micro_noaux,frontier,dp_states,dig,max_coeff_bits,coeff_bound_bits,legacy_dig96_exact,n_matching_calls,path_wall_s,scatter_wall_s,peak_rss_mib_after_path,peak_rss_mib_final,censor_note
sparse,20,11,sparse_N20_seed11,ok,20,58,5.8,0,19,0,3,5,0.600567638874054,1.9818589687347412,0.3030324802866616,3.393935039426677,0.8484837598566692,0.011468891985714436,0.9909294843673706,ok,ok,12,192,0.600567638874054,416303,120609,6743,416303,543655,426294272,489772288,10.72116348368932,14.751955750658771,3.158918293704408,4.346563967573981,10.454261989710682,14.613145073070354,3.0802775740447514,4.305664340452106,8,219,24,19,23,1,4,7.372815161943436e-05,0.0062196869403123856,35.00390625,35.00390625,
sparse,20,12,sparse_N20_seed12,ok,20,54,5.4,0,19,0,4,6,1.2203858643770218,1.991233468055725,0.6128793453680887,3.7742413092638225,0.7548482618527645,0.012636243365705013,0.9956167340278625,ok,ok,36,1152,1.2203858643770218,713401,304184,25505,713401,1043090,2922090496,3571176448,10.274179081353449,14.946906074451547,2.7221839409514224,3.9602412378256195,9.894280015187991,14.746310279107607,2.6215281971777,3.907092597103687,9,450,26,20,25,1,4,0.00011634733527898788,0.00676342099905014,35.39453125,35.39453125,
sparse,20,13,sparse_N20_seed13,ok,20,42,4.2,0,19,0,5,7,0.9676827490329742,1.998965859413147,0.4840916839455502,5.0318166321088995,0.8386361053514833,0.04635094478726387,0.9994829297065735,ok,ok,47,3008,0.9676827490329742,81240,75234,13252,81240,169726,1331036160,2001633280,8.19179304932636,13.40819863916761,1.6279991200500235,2.6646834770582766,7.455015413984262,13.000192858463825,1.481575335319755,2.5835982924153726,5,32,26,17,25,1,4,0.0001226663589477539,0.0038586370646953583,35.57421875,35.57421875,
sparse,20,14,sparse_N20_seed14,ok,20,49,4.9,0,19,0,5,7,0.8444869760423899,1.9972363710403442,0.4228277575390355,5.154344484921929,0.8590574141536549,0.002763535128906369,0.9986181855201721,ok,ok,78,4992,0.8444869760423899,261954,238130,36621,261954,536705,4291854336,6392614912,8.836495047623472,14.062817330984487,1.7143780501037496,2.728342541349851,8.1192153681199,13.664392812599463,1.5752178365010614,2.651043765617934,8,228,28,19,27,1,4,0.00015662889927625656,0.00551975704729557,35.140625,35.140625,
sparse,20,15,sparse_N20_seed15,ok,20,34,3.4,0,5,1,3,5,1.7517553865909576,1.9017857313156128,0.9211108053582526,2.1577783892834947,0.5394445973208737,0.008429798297584057,0.9508928656578064,ok,ok,2,32,1.7517553865909576,35224,17602,1602,35224,54428,36069376,45491712,10.211486825750804,14.167304810683271,4.732407589428866,6.565690379069753,9.776335766875645,13.935218850235318,4.530741347410539,6.458132549405411,6,63,20,16,19,1,4,3.8514845073223114e-05,0.0036696186289191246,35.23046875,35.23046875,
sparse,20,16,sparse_N20_seed16,ok,20,51,5.1,0,19,0,3,5,0.633087046444416,1.9374867677688599,0.32675683621491586,3.3464863275701684,0.8366215818925421,0.008412538096308708,0.9687433838844299,ok,ok,5,80,0.633087046444416,247492,92065,6227,247492,345784,253431808,302163200,11.144131669206807,15.144451192054191,3.3300992678187296,4.525478280692795,10.809695624802051,14.968578708161722,3.230162793657909,4.472923909726586,7,120,23,18,22,1,4,5.262158811092377e-05,0.005388800986111164,35.49609375,35.49609375,
sparse,20,17,sparse_N20_seed17,ok,20,43,4.3,0,6,1,3,5,0.44196829199790955,1.8905961513519287,0.23377191986869675,3.5324561602626066,0.8831140400656516,0.018606241792440414,0.9452980756759644,ok,ok,5,80,0.44196829199790955,98584,35604,2609,98584,136797,100950016,119847168,10.216815441671464,14.219701254354682,2.892269564900116,4.025443093764418,9.889226343183859,14.04810942654353,2.799532646556237,3.9768673096566265,7,120,21,17,20,1,4,4.541967064142227e-05,0.004444246180355549,35.73828125,35.73828125,
sparse,20,18,sparse_N20_seed18,ok,20,51,5.1,0,1,1,3,5,1.1768634542822838,1.9982143640518188,0.5889575590358256,2.822084881928349,0.7055212204820872,0.015580945648252964,0.9991071820259094,ok,ok,1,16,1.1768634542822838,223142,83867,5868,223142,312877,228497408,272939520,12.653565421042849,16.652172067904644,4.483765000150026,5.900663078754069,12.315563619089884,16.474446702449555,4.3639947536498545,5.8376864593783795,7,119,23,18,22,1,4,4.84781339764595e-05,0.005215735174715519,35.83984375,35.83984375,
sparse,20,19,sparse_N20_seed19,ok,20,55,5.5,0,19,0,4,6,0.7420447319746017,1.9802204370498657,0.3747283474561553,4.25054330508769,0.8501086610175379,0.010749914683401585,0.9901102185249329,ok,ok,14,448,0.7420447319746017,720247,443431,48337,720247,1212015,2950131712,3907775488,11.368737492157177,15.98144088772699,2.674655138450033,3.759858385302885,10.848292158102431,15.700322422022051,2.5522130653550956,3.693721318691082,8,247,26,20,25,1,4,8.696131408214569e-05,0.00682915560901165,34.96484375,34.96484375,
sparse,20,20,sparse_N20_seed20,ok,20,46,4.6,0,19,0,5,7,0.4727617319440469,1.9421769380569458,0.24341846650543703,5.513163066989126,0.9188605111648543,0.0010000000474974513,0.9710884690284729,ok,ok,51,3264,0.4727617319440469,260642,224877,34374,260642,519893,4270358528,6253346816,9.229552667429122,14.465673931846817,1.6740939013199927,2.6238429293815315,8.53907746450138,14.084254908980943,1.54885269322621,2.554659591571396,8,136,27,19,26,1,4,0.00015913136303424835,0.005447204224765301,35.046875,35.046875,
