family	size	seed	label	status	L	k	E	max_coeff_bits	coeff_bound_bits	dig	legacy_dig96_exact
sparse	60	23	sparse_N60_seed23	ok	9	11	127	46	51	52	1
sparse	60	24	sparse_N60_seed24	ok	4	6	149	33	34	35	1
sparse	60	25	sparse_N60_seed25	ok	4	6	144	32	34	35	1
sparse	60	26	sparse_N60_seed26	ok	5	7	150	37	39	40	1
sparse	60	27	sparse_N60_seed27	ok	4	6	149	33	34	35	1
sparse	60	28	sparse_N60_seed28	ok	3	5	141	28	29	30	1
sparse	60	29	sparse_N60_seed29	ok	4	6	143	32	34	35	1
sparse	60	30	sparse_N60_seed30	ok	4	6	141	32	34	35	1
sparse	60	31	sparse_N60_seed31	ok	3	5	137	28	29	30	1
sparse	60	32	sparse_N60_seed32	ok	7	9	157	44	47	48	1
sparse	60	33	sparse_N60_seed33	ok	7	9	163	44	48	49	1
sparse	60	34	sparse_N60_seed34	ok	5	7	155	37	39	40	1
sparse	60	35	sparse_N60_seed35	ok	3	5	139	28	29	30	1
sparse	60	36	sparse_N60_seed36	ok	3	5	138	28	29	30	1
sparse	60	37	sparse_N60_seed37	ok	3	5	146	29	29	30	1
sparse	60	38	sparse_N60_seed38	ok	5	7	145	36	38	39	1
sparse	60	39	sparse_N60_seed39	ok	5	7	146	36	38	39	1
sparse	60	40	sparse_N60_seed40	ok	3	5	142	28	29	30	1
dense	20	1	dense_N20_seed1	ok	3	5	76	21	25	26	1
dense	20	2	dense_N20_seed2	ok	3	5	73	21	24	25	1
dense	20	3	dense_N20_seed3	ok	3	5	73	21	24	25	1
dense	20	4	dense_N20_seed4	ok	3	5	57	19	22	23	1
dense	20	5	dense_N20_seed5	ok	3	5	68	20	24	25	1
dense	20	6	dense_N20_seed6	ok	3	5	74	21	24	25	1
dense	20	7	dense_N20_seed7	ok	3	5	73	21	24	25	1
dense	20	8	dense_N20_seed8	ok	3	5	76	21	25	26	1
dense	20	9	dense_N20_seed9	ok	3	5	64	20	23	24	1
dense	20	10	dense_N20_seed10	ok	3	5	71	21	24	25	1
dense	20	11	dense_N20_seed11	ok	3	5	84	22	25	26	1
