family,size,seed,label,status,N,E,s,t,terminal_fallback,L,m,wstar,wmax,lightsum_m,lightsum_m_minus_1,girth,girth_exact,cert_sharp_margin,cert_pure_margin,cert39_margin,rho,gamma,gamma_threshold,gamma_sharp,gamma_sharp_threshold,cycle_cert,cycle_bound,cycle_note,cycle_witness_delta,pure_status,delta_min_pure,delta_both_aux,delta_one_aux_S,delta_one_aux_T,delta_aux_free,argmin_subcase,dfs_nodes,witness_subcase,witness_walk,witness_weights,verdict,verdict_note,censor_note,cycle_wall_s,pure_wall_s,total_wall_s,cycle_rss_mib,pure_rss_mib,peak_rss_mib
sparse,20,21,sparse_N20_seed21,ok,20,41,0,19,0,4,6,0.5081664435565472,0.9904919862747192,0.3210681574419141,0.22698710579425097,0.453013613820076,1,-0.2811793377622962,-0.27365465741604567,-1.1775902723893523,0.06413055968627544,0.4212112802973601,1.9660991640750352,0.35734292757407154,0.8,OPEN,-0.055152829736471176,"neither certificate fires -- constructive search, then UNDETERMINED",0.029860321898013353,ok,0.07475311309099197,0.3869819603860378,0.12636928260326385,0.0903644859790802,0.07475311309099197,aux_free,265,,,,UNDETERMINED,"cycle leg OPEN (neither certificate fired, no witness found)",,7.82012939453125e-05,0.0001513957977294922,0.007996082305908203,35.63671875,35.63671875,35.63671875
sparse,20,22,sparse_N20_seed22,ok,20,46,0,19,0,3,5,0.7132065929472446,0.8235815763473511,0.19568264670670033,0.14710287563502789,0.4606497026979923,1,-0.5661037173122168,-0.5647004991769791,-1.3411055225878954,0.144330287253869,0.16462212938727686,1.2928552689991222,0.1546917230116404,0.75,OPEN,-0.2525568902492523,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.5510425567626953,,,,,,,one_aux_S,0 3 11 14 16,0.0767447799 0.0428026505 0.0267063212 0.0318205692,WITNESS,pure-path one_aux_S,,0.0001285076141357422,8.273124694824219e-05,0.01266026496887207,35.63671875,35.63671875,35.63671875
sparse,20,23,sparse_N20_seed23,ok,20,45,0,5,1,3,5,0.7847799509763718,0.994019091129303,0.38120514154434204,0.28299686312675476,0.9507532939314842,1,-0.501783087849617,-0.49638498574495316,-1.3975939005613327,0.1315836483054507,0.29144868525507434,1.3599728483577667,0.2704549817831119,0.75,GIRTH,0.16597334295511246,bracket >= 0 and every cycle weighs >= girth,,witness,-0.28888434171676636,,,,,,,one_aux_S,0 8 14 10 13,0.0982082784 0.101604261 0.252377033 0.0874120742,WITNESS,pure-path one_aux_S,,0.00012254714965820312,5.602836608886719e-05,0.008443593978881836,35.63671875,35.63671875,35.63671875
sparse,20,24,sparse_N20_seed24,ok,20,46,0,2,1,3,5,0.8329998031258583,0.9963698387145996,0.35809772089123726,0.2565455846488476,0.5689842700958252,1,-0.5764542184770107,-0.573147889226675,-1.4712719209492207,0.13933912401451548,0.25793359341560285,1.3176735228332757,0.23098347414322795,0.75,OPEN,-0.2640155330300331,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.05732542276382446,,,,,,,one_aux_S,0 8 16 7 19,0.307168871 0.205398381 0.239235595 0.0477430671,WITNESS,pure-path one_aux_S,,8.177757263183594e-05,6.151199340820312e-05,0.008633136749267578,35.63671875,35.63671875,35.63671875
sparse,20,25,sparse_N20_seed25,ok,20,50,0,19,0,3,5,0.9570715576410294,0.9690585732460022,0.28598528169095516,0.17921612970530987,0.553746797144413,1,-0.7778554279357195,-0.7674876656383276,-1.6401448491960764,0.16460504109591287,0.1792877111900677,1.2075148083814244,0.1404410111301172,0.75,OPEN,-0.40332476049661636,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.18481013923883438,,,,,,,one_aux_S,0 2 4 16 19,0.0860336274 0.368183225 0.106769152 0.422550827,WITNESS,pure-path one_aux_S,,0.00011229515075683594,8.821487426757812e-05,0.013025045394897461,35.6875,35.6875,35.6875
sparse,20,26,sparse_N20_seed26,ok,20,37,0,5,1,3,5,0.5019415840506554,0.9973701238632202,0.23261781595647335,0.13601688854396343,0.7468867506831884,1,-0.36592469550669193,-0.3428498972207308,-1.2666938919574022,0.08387751815852665,0.27806161913813204,1.7922145790127246,0.2032361327482235,0.75,GIRTH,0.24494516663253307,bracket >= 0 and every cycle weighs >= girth,,witness,-0.024504346773028374,,,,,,,aux_free,12 14 9 16 10 17,0.283499181 0.0465799794 0.217117712 0.0236894917 0.0966009274,WITNESS,pure-path aux_free,,9.441375732421875e-05,0.00010347366333007812,0.008323192596435547,35.63671875,35.63671875,35.63671875
sparse,20,27,sparse_N20_seed27,ok,20,43,0,2,1,3,5,1.3652187585830688,0.9932162165641785,0.32495604921132326,0.19819866586476564,0.32604769617319107,1,-1.1670200927183032,-1.15380625333637,-2.033478925935924,0.22909056051355978,0.14281493592217623,1.0365086006853654,0.10888291598985486,0.75,OPEN,-1.0391710624098778,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.3916814774274826,,,,,,,one_aux_S,0 3 8 5 9,0.603507161 0.155022547 0.0359113961 0.358192354,WITNESS,pure-path one_aux_S,,0.00010204315185546875,9.274482727050781e-05,0.013908624649047852,35.73828125,35.73828125,35.73828125
sparse,20,28,sparse_N20_seed28,ok,20,48,0,19,0,4,6,0.8533618301153183,0.9709689021110535,0.6164699345827103,0.4108015149831772,0.595001645386219,1,-0.4425603151321411,-0.434963621199131,-1.2078607976436615,0.1098595727757041,0.48160105348622884,1.4252107901129836,0.3851135595578854,0.8,OPEN,-0.2583601847290993,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.05650816112756729,,,,,,,one_aux_S,0 5 18 6 4 17,0.00997713208 0.190475032 0.117565162 0.251038522 0.455595642,WITNESS,pure-path one_aux_S,,7.033348083496094e-05,6.914138793945312e-05,0.007756471633911133,35.63671875,35.63671875,35.63671875
sparse,20,29,sparse_N20_seed29,ok,20,42,0,2,1,3,5,0.7754707763670012,0.9865787029266357,0.488166248309426,0.3437646384118125,0.9268753677606583,1,-0.43170613795518875,-0.43142935633659363,-1.273883230984211,0.13100336446661687,0.3777057213656201,1.3633391738231475,0.3324734943807105,0.75,GIRTH,0.15140459139365703,bracket >= 0 and every cycle weighs >= girth,,witness,-0.06570015649776906,,,,,,,one_aux_T,2 18 7 13 1,0.20562385 0.260136873 0.145182058 0.197655678,WITNESS,pure-path one_aux_T,,0.00013494491577148438,6.29425048828125e-05,0.008107185363769531,35.63671875,35.63671875,35.63671875
sparse,20,30,sparse_N20_seed30,ok,20,42,0,19,0,4,6,0.6720628114417195,0.9956234097480774,0.21701301634311676,0.155961312353611,0.4461429715156555,1,-0.5161014990881085,-0.5127137051895261,-1.4506732048466802,0.08437713557927635,0.2152705696040296,1.6542959901939824,0.1856508763150163,0.8,OPEN,-0.22591983992606401,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.2754821889102459,,,,,,,one_aux_S,0 3 16 12 7 8,0.061051704 0.0140672522 0.149408996 0.12031883 0.103467681,WITNESS,pure-path one_aux_S,,0.00010466575622558594,6.580352783203125e-05,0.008272409439086914,35.71484375,35.71484375,35.71484375
sparse,20,31,sparse_N20_seed31,ok,20,48,0,19,0,3,5,0.6542860940098763,0.9866083264350891,0.2596198449609801,0.11940245132427663,0.9852680191397667,1,-0.5348836426855996,-0.49968693603295833,-1.3812745754839852,0.11052783502142259,0.23807919563431335,1.5047494685896807,0.136869542716975,0.75,GIRTH,0.33098192512989044,bracket >= 0 and every cycle weighs >= girth,,witness,-0.17827874422073364,,,,,,,one_aux_T,19 12 7 10 1,0.262415975 0.0114688948 0.0698239803 0.264596999,WITNESS,pure-path one_aux_T,,0.00013637542724609375,6.699562072753906e-05,0.00862264633178711,35.63671875,35.63671875,35.63671875
