family,size,seed,label,N,E,L,terminal_fallback,W_star,denominator,attaining_L_Q,attaining_W_Q,rel_denominator,K_returned,k_exhausted,exact,yen_vs_dfs_strata_agree
grid,8,6,grid_k8_N64_seed6,64,112,14,0,15.244321942329407,0.9628990292549133,16,17.170120000839233,0.06316443807062354,4000,False,False,1/1
grid,8,7,grid_k8_N64_seed7,64,112,14,0,15.278868079185486,1.0255421996116638,16,17.329952478408813,0.06712160837416795,4000,False,False,1/1
grid,8,8,grid_k8_N64_seed8,64,112,14,0,14.993774652481079,1.064451515674591,16,17.12267768383026,0.07099289807576586,4000,False,False,1/1
mtn_knn,40,1,mtnknn_N40_seed1,40,96,7,0,7.563297688961029,0.0012717097997665405,8,7.564569398760796,0.00016814223795827285,4000,False,False,1/1
mtn_knn,40,2,mtnknn_N40_seed2,40,99,8,0,9.2954942882061,0.00010901689529418945,9,9.295603305101395,1.1727928813049508e-05,4000,False,False,1/2
mtn_knn,40,3,mtnknn_N40_seed3,40,101,7,0,10.080915197730064,0.0014261864125728607,8,10.082341384142637,0.00014147390237882344,4000,False,False,1/1
mtn_knn,40,4,mtnknn_N40_seed4,40,96,9,0,3.1361956521868706,0.004679232835769653,10,3.1408748850226402,0.0014920092222265604,4000,False,False,3/3
mtn_knn,40,5,mtnknn_N40_seed5,40,99,7,0,7.829276144504547,0.00027379393577575684,8,7.829549938440323,3.497052993435871e-05,4000,False,False,1/2
mtn_knn,40,6,mtnknn_N40_seed6,40,98,8,0,18.145952820777893,0.0015032291412353516,9,18.14745604991913,8.284101452716718e-05,4000,False,False,1/1
mtn_knn,40,7,mtnknn_N40_seed7,40,100,8,0,7.882948637008667,0.007222771644592285,9,7.890171408653259,0.0009162525315315389,4000,False,False,1/2
mtn_knn,40,8,mtnknn_N40_seed8,40,100,7,0,12.639021635055542,0.02231234312057495,8,12.661333978176117,0.0017653536614487249,4000,False,False,2/2
mtn_knn,80,1,mtnknn_N80_seed1,80,197,13,0,7.6635052263736725,0.006445139646530151,14,7.669950366020203,0.0008410171920219274,4000,False,False,2/3
mtn_knn,80,2,mtnknn_N80_seed2,80,196,13,0,12.665997967123985,0.005426179617643356,15,12.676850326359272,0.00042840521779078224,4000,False,False,1/2
mtn_knn,80,3,mtnknn_N80_seed3,80,199,12,0,17.724184975028038,0.00020331144332885742,13,17.724388286471367,1.1470848652014579e-05,4000,False,False,1/1
mtn_knn,80,4,mtnknn_N80_seed4,80,192,13,0,3.8338390588760376,0.00012523680925369263,14,3.8339642956852913,3.266616238460677e-05,4000,False,False,1/2
mtn_knn,80,5,mtnknn_N80_seed5,80,196,13,0,7.976471293717623,0.0013137459754943848,14,7.977785039693117,0.00016470265197708527,4000,False,False,1/1
mtn_knn,80,6,mtnknn_N80_seed6,80,197,15,0,4.581012703478336,0.0007088184356689453,16,4.581721521914005,0.0001547296376477506,4000,False,False,1/6
mtn_knn,80,7,mtnknn_N80_seed7,80,198,10,0,7.324256092309952,0.00018215179443359375,11,7.324438244104385,2.4869664869425125e-05,4000,False,False,1/1
mtn_knn,80,8,mtnknn_N80_seed8,80,190,14,0,10.395207524299622,0.0010026544332504272,15,10.396210178732872,9.645352734966022e-05,4000,False,False,1/4
